,name,fullname,shift,div,siz,dnaApos,taxonid,realm1,realm2,realm3,realm4,realm5,Ori,Ter,leading1,lagging1,lagging2,leading2,dist_dnaA_ori,frac_co_orient,median_dist_ori_rrna
9,NZ_CP083043.1,"NZ_CP083043.1 Klebsiella pneumoniae strain 400195-2-18 chromosome, complete genome",25072,0.49894,5442702,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,25073,2740655,"[25073, 2740655)","[1, 25073)","[2740655, 5442702]",,25072.0,1.0,387644.5
10,NZ_CP088936.1,"NZ_CP088936.1 Borrelia sp. RT5S chromosome, complete genome",468546,0.500019,942662,467648,2898581,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,468547,939896,"[468547, 939896)","[1, 468547)","[939896, 942662]",,899.0,1.0,11216.0
11,NZ_CP088943.1,"NZ_CP088943.1 Borrelia sp. RT1S chromosome, complete genome",469280,0.502218,952249,466253,2898580,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,469281,947518,"[469281, 947518)","[1, 469281)","[947518, 952249]",,3028.0,1.0,13350.0
12,NZ_CP088965.1,"NZ_CP088965.1 Brucella anthropi strain T210003 chromosome 2, complete sequence",12264,0.498458,1984997,-1,529,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,12265,1001703,"[12265, 1001703)","[1, 12265)","[1001703, 1984997]",,12266.0,1.0,377171.5
13,NZ_CP088931.1,"NZ_CP088931.1 Limosilactobacillus reuteri strain VHProbi E18 chromosome, complete genome",12097,0.496213,2040677,1,1598,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,12098,1024708,"[12098, 1024708)","[1, 12098)","[1024708, 2040677]",,12097.0,1.0,628703.5
14,NZ_CP088964.1,"NZ_CP088964.1 Brucella anthropi strain T210003 chromosome 1, complete sequence",-183528,0.51682,2865724,2865633,529,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,2682197,1297536,"[1, 1297536)","[1297536, 2682197)",,"[2682197, 2865724]",183436.0,1.0,287673.5
15,NZ_CP088954.1,"NZ_CP088954.1 Acinetobacter calcoaceticus strain ACa13 chromosome, complete genome",1889,0.494982,3966523,1,471,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,1890,1965247,"[1890, 1965247)","[1, 1890)","[1965247, 3966523]",,1889.0,1.0,354862.0
16,NZ_CP088955.1,"NZ_CP088955.1 Acinetobacter calcoaceticus strain ARu19 chromosome, complete genome",1081,0.505277,3942373,1,471,Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,1082,1993072,"[1082, 1993072)","[1, 1082)","[1993072, 3942373]",,1081.0,1.0,363259.0
17,NZ_CP088953.1,"NZ_CP088953.1 Microbulbifer elongatus strain DSM 6810 chromosome, complete genome",757137,0.491912,4196951,744931,86173,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,757138,2821669,"[757138, 2821669)","[1, 757138)","[2821669, 4196951]",,12207.0,1.0,834091.5
18,NZ_CP083075.1,"NZ_CP083075.1 Klebsiella pneumoniae strain 0113481141 chromosome, complete genome",29459,0.487418,5533067,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,29460,2726376,"[29460, 2726376)","[1, 29460)","[2726376, 5533067]",,29459.0,1.0,382028.5
19,NZ_CP088969.1,"NZ_CP088969.1 Rhodococcus aetherivorans strain CBO21-1 chromosome, complete genome",-287764,0.593324,5978841,5469412,191292,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,5691078,3259627,"[1, 3259627)","[3259627, 5691078)",,"[5691078, 5978841]",221666.0,1.0,1657644.0
20,NZ_CP088912.1,"NZ_CP088912.1 Lysinibacillus sp. GJ-1 chromosome, complete genome",1194,0.464765,4692308,1,2896845,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,1195,2182016,"[1195, 2182016)","[1, 1195)","[2182016, 4692308]",,1194.0,1.0,193048.0
21,NZ_CP088991.1,"NZ_CP088991.1 Klebsiella pneumoniae strain 50700 chromosome, complete genome",32428,0.480044,5473618,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,32429,2660006,"[32429, 2660006)","[1, 32429)","[2660006, 5473618]",,32428.0,1.0,373520.0
22,NZ_CP088952.1,"NZ_CP088952.1 Massilia sp. DM-R-R2A-13 chromosome, complete genome",-128343,0.373659,5387549,5068022,2899220,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,5259207,1884764,"[1, 1884764)","[1884764, 5259207)",,"[5259207, 5387549]",191185.0,1.0,863929.0
23,NZ_CP088985.1,"NZ_CP088985.1 Klebsiella pneumoniae strain 53334 chromosome, complete genome",24545,0.500864,5059680,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,24546,2558758,"[24546, 2558758)","[1, 24546)","[2558758, 5059680]",,24545.0,1.0,378622.5
24,NZ_CP089031.1,"NZ_CP089031.1 Escherichia coli strain 7386Nal chromosome, complete genome",66455,0.453489,5394198,49485,562,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,66456,2512665,"[66456, 2512665)","[1, 66456)","[2512665, 5394198]",,16971.0,1.0,363986.0
25,NZ_CP089012.1,"NZ_CP089012.1 Klebsiella pneumoniae strain 56575 chromosome, complete genome",26465,0.469169,5140268,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,26466,2438120,"[26466, 2438120)","[1, 26466)","[2438120, 5140268]",,26465.0,1.0,368292.5
26,NZ_CP089014.1,"NZ_CP089014.1 Klebsiella pneumoniae strain 53374 chromosome, complete genome",31426,0.501239,5383182,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,31427,2729688,"[31427, 2729688)","[1, 31427)","[2729688, 5383182]",,31426.0,1.0,372133.0
27,NZ_CP089021.1,"NZ_CP089021.1 Klebsiella pneumoniae strain 53370 chromosome, complete genome",35883,0.493342,5478994,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,35884,2738902,"[35884, 2738902)","[1, 35884)","[2738902, 5478994]",,35883.0,1.0,373067.0
28,NZ_CP089024.1,"NZ_CP089024.1 Klebsiella pneumoniae strain 49210 chromosome, complete genome",-26593,0.519976,5462995,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,5436403,2814034,"[1, 2814034)","[2814034, 5436403)",,"[5436403, 5462995]",26593.0,1.0,374075.0
29,NZ_CP089061.1,"NZ_CP089061.1 Pseudomonas aeruginosa strain UNC_PaerCF41 chromosome, complete genome",2950922,0.499454,6441116,2898888,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2950923,6167964,"[2950923, 6167964)","[1, 2950923)","[6167964, 6441116]",,52035.0,1.0,868765.5
30,NZ_CP089061.2,"NZ_CP089061.2 Pseudomonas aeruginosa strain UNC_PaerCF41 chromosome, complete genome",2952711,0.499169,6441145,2898908,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2952712,6167932,"[2952712, 6167932)","[1, 2952712)","[6167932, 6441145]",,53804.0,1.0,868769.5
31,NZ_CP089064.1,"NZ_CP089064.1 Pseudomonas aeruginosa strain UNC_PaerCF35 chromosome, complete genome",2881367,0.499555,6323928,2809902,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2881368,6040518,"[2881368, 6040518)","[1, 2881368)","[6040518, 6323928]",,71466.0,1.0,861111.0
32,NZ_CP089062.1,"NZ_CP089062.1 Pseudomonas aeruginosa strain UNC_PaerCF38 chromosome, complete genome",1324804,0.491696,6369923,1219121,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1324805,4456871,"[1324805, 4456871)","[1, 1324805)","[4456871, 6369923]",,105684.0,1.0,882842.5
33,NZ_CP089062.2,"NZ_CP089062.2 Pseudomonas aeruginosa strain UNC_PaerCF38 chromosome, complete genome",1324231,0.491809,6369957,1219131,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1324232,4457034,"[1324232, 4457034)","[1, 1324232)","[4457034, 6369957]",,105101.0,1.0,882847.0
34,NZ_CP089063.1,"NZ_CP089063.1 Pseudomonas aeruginosa strain UNC_PaerCF37 chromosome, complete genome",58222,0.427868,6722207,6716360,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,58223,2934440,"[58223, 2934440)","[1, 58223)","[2934440, 6722207]",,64070.0,1.0,1144194.0
35,NZ_CP082781.1,"NZ_CP082781.1 Microbacterium resistens strain MZT7 chromosome, complete genome",-1191639,0.524163,4011346,2873425,156977,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,2819708,910961,"[1, 910961)","[910961, 2819708)",,"[2819708, 4011346]",53717.0,1.0,1146935.5
36,NZ_CP089034.1,"NZ_CP089034.1 Escherichia coli O157:H7 strain 6535NalR chromosome, complete genome",71216,0.454102,5644598,49494,83334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,71217,2634440,"[71217, 2634440)","[1, 71217)","[2634440, 5644598]",,21723.0,1.0,368708.0
37,NZ_CP089032.1,"NZ_CP089032.1 Escherichia coli O157:H7 strain 6535WT chromosome, complete genome",81921,0.455541,5649271,49494,83334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,81922,2655397,"[81922, 2655397)","[1, 81922)","[2655397, 5649271]",,32428.0,1.0,379413.0
38,NZ_CP089064.2,"NZ_CP089064.2 Pseudomonas aeruginosa strain UNC_PaerCF35 chromosome, complete genome",2881810,0.499067,6323950,2809908,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2881811,6037886,"[2881811, 6037886)","[1, 2881811)","[6037886, 6323950]",,71903.0,1.0,861115.0
39,NZ_CP089068.2,"NZ_CP089068.2 Pseudomonas aeruginosa strain UNC_PaerCF13 chromosome, complete genome",1605497,0.487743,6346541,1523568,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1605498,4700979,"[1605498, 4700979)","[1, 1605498)","[4700979, 6346541]",,81930.0,1.0,861338.0
40,NZ_CP089068.1,"NZ_CP089068.1 Pseudomonas aeruginosa strain UNC_PaerCF13 chromosome, complete genome",1605572,0.487652,6346473,1523550,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,1605573,4700443,"[1605573, 4700443)","[1, 1605573)","[4700443, 6346473]",,82023.0,1.0,861331.5
41,NZ_CP089065.1,"NZ_CP089065.1 Pseudomonas aeruginosa strain UNC_PaerCF34 chromosome, complete genome",678665,0.508535,6621149,722364,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,678666,4045752,"[678666, 4045752)","[1, 678666)","[4045752, 6621149]",,43698.0,1.0,861409.5
42,NZ_CP089065.2,"NZ_CP089065.2 Pseudomonas aeruginosa strain UNC_PaerCF34 chromosome, complete genome",678446,0.508563,6621225,722373,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,678447,4045757,"[678447, 4045757)","[1, 678447)","[4045757, 6621225]",,43926.0,1.0,861417.0
43,NZ_CP089067.2,"NZ_CP089067.2 Pseudomonas aeruginosa strain UNC_PaerCF19 chromosome, complete genome",885509,0.505059,6823539,960755,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,885510,4331800,"[885510, 4331800)","[1, 885510)","[4331800, 6823539]",,75245.0,1.0,883046.5
44,NZ_CP089067.1,"NZ_CP089067.1 Pseudomonas aeruginosa strain UNC_PaerCF19 chromosome, complete genome",886630,0.503093,6851633,966115,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,886631,4333640,"[886631, 4333640)","[1, 886631)","[4333640, 6851633]",,79484.0,1.0,886211.5
45,NZ_CP089092.2,"NZ_CP089092.2 Enterococcus faecium strain V13-21-E11-012-001 chromosome, complete genome",1219768,0.498863,2727100,1221123,1352,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,1219769,2580218,"[1219769, 2580218)","[1, 1219769)","[2580218, 2727100]",,1354.0,1.0,400218.5
46,NZ_CP089156.1,"NZ_CP089156.1 Staphylococcus aureus strain UNC_SaCF35 chromosome, complete genome",1316950,0.506219,2854517,1338478,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,1316951,2761962,"[1316951, 2761962)","[1, 1316951)","[2761962, 2854517]",,21527.0,1.0,536249.0
47,NZ_CP089096.1,"NZ_CP089096.1 Flavobacterium channae strain KSM-R2A30 chromosome, complete genome",28603,0.439835,2808466,2052589,2897181,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidota,Flavobacteriia,28604,1263866,"[28604, 1263866)","[1, 28604)","[1263866, 2808466]",,784481.0,1.0,887273.0
48,NZ_CP089095.1,"NZ_CP089095.1 Flavobacterium cyclinae strain KSM-R2A25 chromosome, complete genome",-21151,0.61222,3017061,832883,2895947,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidota,Flavobacteriia,2995911,1825955,"[1, 1825955)","[1825955, 2995911)",,"[2995911, 3017061]",854033.0,1.0,998489.0
49,NZ_CP089092.1,"NZ_CP089092.1 Enterococcus faecium strain V13-21-E11-012-001 chromosome, complete genome",-1360865,0.529456,2890352,1525276,1352,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,1529488,169450,"[1, 169450)","[169450, 1529488)",,"[1529488, 2890352]",4212.0,1.0,400218.5
50,NZ_CP069319.1,"NZ_CP069319.1 Kosakonia cowanii strain Pa82 chromosome, complete genome",45183,0.516898,4895353,1,208223,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,45184,2575582,"[45184, 2575582)","[1, 45184)","[2575582, 4895353]",,45183.0,1.0,333065.0
51,NZ_CP087880.1,"NZ_CP087880.1 Pseudocitrobacter corydidari isolate G163CM chromosome, complete genome",-1108946,0.491418,5015039,3831729,2891570,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,3906094,1355535,"[1, 1355535)","[1355535, 3906094)",,"[3906094, 5015039]",74365.0,0.8888888888888888,419436.0
52,NZ_CP089097.1,"NZ_CP089097.1 Klebsiella pneumoniae strain EH13 chromosome, complete genome",34964,0.485241,5301225,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,34965,2607337,"[34965, 2607337)","[1, 34965)","[2607337, 5301225]",,34964.0,1.0,373430.5
53,NZ_CP089036.1,"NZ_CP089036.1 Escherichia coli O157:H7 strain 7386WT chromosome, complete genome",75454,0.49444,5470656,49485,83334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,75455,2780366,"[75455, 2780366)","[1, 75455)","[2780366, 5470656]",,25970.0,1.0,372985.0
54,NZ_CP087164.1,"NZ_CP087164.1 Capillimicrobium parvum strain 0166_1 chromosome, complete genome",230513,0.452743,5953269,1,2884022,Bacteria,Terrabacteria group,Actinobacteria,Thermoleophilia,Solirubrobacterales,230514,2925815,"[230514, 2925815)","[1, 230514)","[2925815, 5953269]",,230513.0,1.0,2531294.0
55,NZ_CP076412.1,"NZ_CP076412.1 Ralstonia sp. 56D2 chromosome p56D2, complete sequence",-699966,0.516344,1804571,-1,2842456,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,1104606,231814,"[1, 231814)","[231814, 1104606)",,"[1104606, 1804571]",699964.0,1.0,624018.0
56,NZ_CP089154.1,"NZ_CP089154.1 Staphylococcus aureus strain UNC_SaCF36 chromosome, complete genome",-564903,0.502811,2737789,2172054,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,2172887,811688,"[1, 811688)","[811688, 2172887)",,"[2172887, 2737789]",833.0,1.0,536714.5
57,NZ_CP089157.1,"NZ_CP089157.1 Staphylococcus aureus strain UNC_SaCF30 chromosome, complete genome",-1288286,0.364307,2740464,1451335,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,1452179,2450549,"[1452179, 2450549)","[1, 1452179)","[2450549, 2740464]",,844.0,1.0,564747.0
58,NZ_CP089165.1,"NZ_CP089165.1 Staphylococcus aureus strain UNC_SaCF07 chromosome, complete genome",531656,0.486439,2785271,518887,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,531657,1886521,"[531657, 1886521)","[1, 531657)","[1886521, 2785271]",,12770.0,1.0,573657.0
59,NZ_CP089162.1,"NZ_CP089162.1 Staphylococcus aureus strain UNC_SaCF11 chromosome, complete genome",-577186,0.500952,2863941,2288274,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,2286756,857512,"[1, 857512)","[857512, 2286756)",,"[2286756, 2863941]",1518.0,1.0,568829.0
60,NZ_CP089161.1,"NZ_CP089161.1 Staphylococcus aureus strain UNC_SaCF13 chromosome, complete genome",715914,0.514562,2780114,692734,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,715915,2146456,"[715915, 2146456)","[1, 715915)","[2146456, 2780114]",,23181.0,1.0,577538.0
61,NZ_CP089159.1,"NZ_CP089159.1 Staphylococcus aureus strain UNC_SaCF18 chromosome, complete genome",-691982,0.504664,2917326,2225265,1280,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,2225345,780288,"[1, 780288)","[780288, 2225345)",,"[2225345, 2917326]",80.0,1.0,567443.5
62,NZ_CP076413.1,"NZ_CP076413.1 Ralstonia sp. 56D2 chromosome, complete genome",-250083,0.519592,3505963,1,2842456,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,3255881,1571588,"[1, 1571588)","[1571588, 3255881)",,"[3255881, 3505963]",250083.0,1.0,347503.0
63,NZ_CP089148.1,"NZ_CP089148.1 Bacillus subtilis strain NIB353 chromosome, complete genome",-68343,0.47477,4247446,1,1423,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,4179104,1948218,"[1, 1948218)","[1948218, 4179104)",,"[4179104, 4247446]",68343.0,1.0,268927.5
64,NZ_CP089207.1,"NZ_CP089207.1 Salmonella enterica strain S639 chromosome, complete genome",21993,0.488153,4746493,1,28901,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,21994,2339009,"[21994, 2339009)","[1, 21994)","[2339009, 4746493]",,21993.0,1.0,365975.0
65,NZ_CP089209.1,"NZ_CP089209.1 Salmonella enterica strain S15 chromosome, complete genome",25905,0.483577,4972722,1,28901,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,25906,2430600,"[25906, 2430600)","[1, 25906)","[2430600, 4972722]",,25905.0,1.0,375352.0
66,NZ_CP089222.1,"NZ_CP089222.1 Mycobacterium intracellulare subsp. intracellulare strain FDAARGOS_1610 chromosome, complete genome",-1120474,0.527341,5412666,4283683,35617,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,4292193,1733848,"[1, 1733848)","[1733848, 4292193)",,"[4292193, 5412666]",8510.0,1.0,1640266.0
67,NZ_CP089220.1,"NZ_CP089220.1 Mycobacterium intracellulare strain FDAARGOS_1612 chromosome, complete genome",-560442,0.495353,5575660,5008848,1767,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,5015219,2201479,"[1, 2201479)","[2201479, 5015219)",,"[5015219, 5575660]",6371.0,1.0,1703277.0
68,NZ_CP089224.1,"NZ_CP089224.1 Mycobacterium ostraviense strain FDAARGOS_1613 chromosome, complete genome",-734393,0.503219,6127733,5519729,2738409,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,5393341,2349200,"[1, 2349200)","[2349200, 5393341)",,"[5393341, 6127733]",126388.0,1.0,1760315.0
69,NZ_CP089221.1,"NZ_CP089221.1 Mycobacterium intracellulare strain FDAARGOS_1611 chromosome, complete genome",-869536,0.524707,5489329,4576516,1767,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,4619794,2010754,"[1, 2010754)","[2010754, 4619794)",,"[4619794, 5489329]",43278.0,1.0,1306537.0
70,NZ_CP089216.1,"NZ_CP089216.1 Mycobacterium kansasii strain FDAARGOS_1615 chromosome, complete genome",967551,0.510555,6436817,895294,1768,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,967552,4253901,"[967552, 4253901)","[1, 967552)","[4253901, 6436817]",,72258.0,1.0,1895723.0
71,NZ_CP089218.1,"NZ_CP089218.1 Mycobacterium kansasii strain FDAARGOS_1614 chromosome, complete genome",-541862,0.519715,6435495,5871249,1768,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,5893634,2802762,"[1, 2802762)","[2802762, 5893634)",,"[5893634, 6435495]",22385.0,1.0,1845851.0
72,NZ_CP089227.1,"NZ_CP089227.1 Nocardia asteroides strain FDAARGOS_1622 chromosome, complete genome",-737827,0.516981,6983419,6373695,1824,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,6245593,2872469,"[1, 2872469)","[2872469, 6245593)",,"[6245593, 6983419]",128102.0,1.0,1886727.0
73,NZ_CP089215.1,"NZ_CP089215.1 Mycolicibacterium smegmatis strain FDAARGOS_1618 chromosome, complete genome",-2937170,0.492811,6891330,3998056,1772,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,3954161,458954,"[1, 458954)","[458954, 3954161)",,"[3954161, 6891330]",43895.0,1.0,2553861.5
74,NZ_CP089225.1,"NZ_CP089225.1 Nocardia gipuzkoensis strain FDAARGOS_1619 chromosome, complete genome",2496267,0.597342,8118643,2572721,2749991,Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,2496268,7345874,"[2496268, 7345874)","[1, 2496268)","[7345874, 8118643]",,76453.0,1.0,2221675.0
75,NZ_CP089520.1,"NZ_CP089520.1 Candidatus Nanosynbacter sp. HMT-352 strain KC1 chromosome, complete genome",-40778,0.443235,677937,627066,2899133,Bacteria,Bacteria incertae sedis,Bacteria candidate phyla,Candidatus Saccharibacteria,Candidatus Saccharimonadia,637160,259708,"[1, 259708)","[259708, 637160)",,"[637160, 677937]",10094.0,1.0,111497.0
76,NZ_CP089283.1,"NZ_CP089283.1 Helicobacter pylori strain J99 derivative isolate D1 chromosome, complete genome",-709796,0.459275,1685093,944594,210,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales,975298,64126,"[1, 64126)","[64126, 975298)",,"[975298, 1685093]",30704.0,1.0,261168.0
77,NZ_CP087705.1,"NZ_CP087705.1 Halopseudomonas aestusnigri strain GOM5 chromosome, complete genome",-442423,0.515109,3996285,3547679,857252,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,3553863,1616100,"[1, 1616100)","[1616100, 3553863)",,"[3553863, 3996285]",6184.0,1.0,570061.5
78,NZ_CP089287.1,"NZ_CP089287.1 Bacillus velezensis strain GSBZ09 chromosome, complete genome",-1375671,0.520875,4121847,2673870,492670,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,2746177,771297,"[1, 771297)","[771297, 2746177)",,"[2746177, 4121847]",72307.0,1.0,233917.0
79,NZ_CP089211.1,"NZ_CP089211.1 Sinomicrobium kalidii strain HD2P242 chromosome, complete genome",2219029,0.53627,5364210,104,2900738,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidota,Flavobacteriia,2219030,5095695,"[2219030, 5095695)","[1, 2219030)","[5095695, 5364210]",,2218926.0,1.0,862892.0
80,NZ_CP036537.1,"NZ_CP036537.1 Rhodopseudomonas boonkerdii strain NS23 chromosome, complete genome",329505,0.482182,5632342,1,475937,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,329506,3045320,"[329506, 3045320)","[1, 329506)","[3045320, 5632342]",,329505.0,1.0,785260.0
